,Country,Energy Supply,Energy Supply per Capita,% Renewable
150,Northern Mariana Islands,,,0
151,Norway,1388000000,273,97.63558
152,Oman,1015000000,260,0
153,Pakistan,2868000000,16,31.87684
154,Palau,3000000,152,18.75
155,Panama,158000000,42,57.50948
156,Papua New Guinea,144000000,20,23.94636
157,Paraguay,228000000,35,99.99503
158,Peru,858000000,28,51.96861
159,Philippines,1781000000,18,26.17264
160,Poland,4121000000,107,5.537899
161,Portugal,899000000,86,53.3403
162,Puerto Rico,56000000,15,1.080808
163,Qatar,1396000000,664,0
164,South Korea,11007000000,221,2.279353
165,Republic of Moldova,93000000,23,5.082873
166,Réunion,59000000,70,28.29719
167,Romania,1339000000,68,34.3845
168,Russian Federation,30709000000,214,17.28868
169,Rwanda,95000000,9,35.83535
170,Saint Helena,0,40,9.090909
171,Saint Kitts and Nevis,4000000,73,0
172,Saint Lucia,6000000,33,0
173,Saint Pierre and Miquelon,1000000,162,2.12766
174,Saint Vincent and the Grenadines,3000000,28,16.66667
175,Samoa,4000000,22,31.35593
176,Sao Tome and Principe,3000000,14,10.44776
177,Saudi Arabia,7985000000,264,0.000352
178,Senegal,154000000,11,1.998237
179,Serbia,618000000,69,27.21619
180,Seychelles,9000000,94,1.977401
181,Sierra Leone,67000000,11,64.02439
182,Singapore,1120000000,207,0
183,Sint Maarten,12000000,327,0
184,Slovakia,711000000,131,20.21712
185,Slovenia,287000000,139,31.86424
186,Solomon Islands,6000000,11,0
187,Somalia,126000000,12,0
188,South Africa,6341000000,119,1.687019
189,South Sudan,28000000,2,0.423729
190,Spain,4923000000,106,37.96859
191,Sri Lanka,388000000,19,59.57323
192,State of Palestine,61000000,14,0
193,Sudan,608000000,16,78.41048
194,Suriname,34000000,65,22.02381
195,Swaziland,49000000,39,40.67797
196,Sweden,2044000000,212,46.59846
197,Switzerland,1113000000,136,57.74548
198,Syrian Arab Republic,542000000,28,11.56827
199,Tajikistan,106000000,13,99.74292
200,Thailand,5336000000,79,4.305189
201,The former Yugoslav Republic of Macedonia,117000000,56,26.14047
202,Timor-Leste,7000000,6,0
203,Togo,134000000,19,80.18018
204,Tonga,3000000,28,0
205,Trinidad and Tobago,824000000,611,0
206,Tunisia,430000000,39,3.492547
207,Turkey,4897000000,64,28.53669
208,Turkmenistan,1102000000,210,0
209,Turks and Caicos Islands,3000000,85,0
210,Tuvalu,,,0
211,Uganda,452000000,12,68.01818
212,Ukraine,4844000000,107,8.067312
213,United Arab Emirates,2710000000,300,0
214,United Kingdom,7920000000,124,10.60047
215,United Republic of Tanzania,994000000,20,31.07284
216,United States,90838000000,286,11.57098
217,United States Virgin Islands,,,0
218,Uruguay,196000000,58,71.60504
219,Uzbekistan,1798000000,62,21.32841
220,Vanuatu,3000000,10,14.70588
221,Venezuela,2871000000,95,67.83452
222,Viet Nam,2554000000,28,45.32152
223,Wallis and Futuna Islands,0,26,0
224,Yemen,344000000,13,0
225,Zambia,400000000,26,99.71467
226,Zimbabwe,480000000,32,52.53612
