,Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
32,Central African Republic,1774984666.3444,1856768185.03737,1894908553.51862,1927296727.82367,1986014845.6318398,2051568026.22204,2111033559.14343,1329698727.92454,1312982972.33268,1385019239.00865
33,Canada,1564468853329.45,1596739898466.32,1612713061250.24,1565144676082.31,1613406134731.12,1664086754804.89,1693132927878.08,1730687770724.13,1773485821199.77,1792608764608.81
34,Central Europe and the Baltics,1210990630335.64,1289104463548.13,1336368300813.72,1286232428807.55,1311611412790.09,1352415744655.75,1359737397262.39,1377043690219.52,1415218150925.28,1463304745213.88
35,Switzerland,541555032026.081,563977296960.3989,576820414037.7789,564536339725.765,581211708792.789,591699987438.8729,598354418927.989,608938294755.01,620444043436.571,626087832006.9039
36,Channel Islands,,,,,,,,,,
37,Chile,191356021768.11102,201231572326.413,207857031084.45398,205702734759.52,217538271334.738,230241724512.103,242806316136.39102,252461742875.727,257198923398.34,262513014570.225
38,China,3992331462570.89,4559041383517.93,4997775145605.96,5459247267275.14,6039658508485.59,6612490294273.65,7124977970399.61,7672447738017.42,8230120617793.52,8797998940421.28
39,Cote d'Ivoire,22638811513.3749,23038394863.9785,23624224724.0402,24392355457.3384,24884505034.5564,23792758395.8868,26340131049.779,28768316766.142998,31226991710.1366,33863084782.32
40,Cameroon,21124441590.6486,21812182534.8566,22441255963.7758,22874787499.6787,23622483983.7101,24600594629.4999,25729451635.8197,27160443492.9778,28770233461.5751,30565262485.9559
41,"Congo, Rep.",9888362511.04569,9731906589.75001,10274194133.9768,11041561162.6459,12007880590.4575,12418624707.9932,12890531931.9739,13334057140.8064,14238098341.6268,14614902201.2204
42,Colombia,245336908226.293,262266694764.28897,271568782707.966,276053874889.224,287018184637.529,305931280966.003,318302970054.38,333817265555.82,348457525761.04803,359196735931.90704
43,Comoros,490258556.91160303,494181374.477147,496159418.72392404,505834527.27892804,516962886.786662,530403922.298966,546316039.8190651,565437101.179365,577094375.6296201,
44,Cabo Verde,1352563536.3517401,1557756730.02791,1661355661.05055,1640249737.6851,1664310769.55229,1730363665.95202,1749084787.29586,1767366991.4853399,1816850559.6912,1862691670.4429102
45,Costa Rica,31510279610.9643,34010727595.24,34939771575.7626,34584881725.6978,36298327620.1953,37938194036.3072,39898681617.7936,41270108615.7383,42715533185.6795,43893390015.9922
46,Caribbean small states,58970275398.9102,60881634365.7894,61723406237.6828,59521234617.5624,59631444333.2797,60326538371.7571,61047983682.0753,61848825594.2088,62641990817.5975,63470247399.8132
47,Cuba,55454307107.077,59481474880.5381,61930224928.5733,62827666170.9786,64328200000.0,66131296503.7544,68124752000.1304,69954605014.68599,,
48,Curacao,,,,,,,,,,
49,Cayman Islands,,,,,,,,,,
50,Cyprus,23374254602.0531,24527557385.1203,25423474625.8826,24907637951.7318,25247424010.9811,25349522711.7286,24728953808.3929,23260282189.2759,22679459775.8242,23039202804.9079
51,Czech Republic,196206259195.845,207055025839.996,212668195598.561,202371258174.811,207015860050.371,211087060104.82602,209186629176.41898,208081766439.945,212197944319.65198,221106119392.82602
52,Germany,3332890754966.89,3441560834437.09,3478809377483.44,3283339933774.83,3417298013245.03,3542371125827.81,3556723774834.44,3567317390728.48,3624386278145.7,3685555907284.77
53,Djibouti,933783907.5461061,981407460.056192,1038328725.8753,1090583938.28285,1128611700.3618,1179032592.01788,1236125825.40744,1297930970.22735,1375809350.63202,
54,Dominica,435815497.239283,463519138.904398,496184626.83789295,490395806.19145095,493703703.703704,493703703.703704,487501395.86823,490395806.19145095,509416216.886904,523474781.31397694
55,Denmark,331233619601.35803,333964367632.154,331566650664.106,314696751480.237,319810991980.93896,323495670418.378,323258476911.861,322470439714.799,326539713020.75,330388150993.04803
56,Dominican Republic,44040207628.7205,47772449977.7855,49274277961.9322,49735377436.7753,53864484468.2287,55383939355.4068,56840263481.204,59555944572.0708,63927874022.2013,68372979594.1545
57,Algeria,144647409920.555,149565421857.854,153154991982.442,155605471854.161,161207268840.911,165882279637.297,171522277144.965,176324900905.025,183025247139.415,190163231777.852
58,East Asia & Pacific,5449300171358.38,6110102320550.02,6623838400590.44,7123891314783.49,7820047724902.89,8480167403837.53,9110169022303.96,9760334110042.47,10416475622006.1,11089407058889.3
59,Early-demographic dividend,7167964405086.03,7627309301262.65,7910974658358.0,8023832467514.87,8545646445320.08,8994955534816.25,9368178130158.9,9726527510870.06,10093297181730.6,10517545316683.2
60,East Asia & Pacific,13879383396248.8,14811287692041.6,15341745572403.6,15544601023958.1,16673982045590.3,17427843028961.7,18250724960676.1,19074705086970.2,19836967026265.8,20607791912069.7
61,Europe & Central Asia,2747206323232.01,2957392078168.74,3086961547265.3,2897932204034.68,3053602710403.1,3216758391995.22,3308463586112.21,3394900641153.45,3447682801840.61,3425121260357.83
62,Europe & Central Asia,20298459440839.8,21053483623035.5,21267573853902.3,20310243971332.9,20831861081310.8,21306393651578.9,21333559599760.3,21461118234052.7,21763445394189.7,22086084634935.6
63,Ecuador,61468918471.6664,62815127109.2433,66808366776.0763,67186830556.6821,69555367000.0,75028081292.3641,79261137178.2611,82870352926.102,85915823595.2695,86165289702.3501
64,"Egypt, Arab Rep.",173312772191.837,185597209140.304,198871216255.072,208189218087.493,218888324504.75302,222864751906.045,227754133456.08398,232552285851.12,237735390300.773,247720276693.405
65,Euro area,12529680056916.4,12912554281700.1,12973943801744.7,12384632776390.0,12640394222574.8,12841980773529.6,12728845503959.3,12688043752705.3,12801853722990.4,13013964419700.0
66,Eritrea,2179437333.32658,2210534025.9850802,1994276818.2364302,2071584990.2117102,2117039512.1951199,2300794306.42964,,,,
67,Spain,1414822516556.29,1468145695364.24,1484529801324.5,1431475496688.74,1431672847682.12,1417354966887.42,1380215894039.73,1357139072847.68,1375605298013.24,1419821192052.98
68,Estonia,21893390728.4768,23589735099.3377,22311298013.245,19026092715.2318,19494662251.6556,20972966887.4172,22059907284.7682,22405761589.404,23056993377.4834,23303205298.0132
69,Ethiopia,19795942247.5789,22063798449.7811,24444156129.287003,26595865977.4424,29933790334.3418,33279878092.46,36157859262.3837,39984181570.2945,44094230373.9461,48330591494.5301
70,European Union,16754141422962.3,17276403101775.6,17363151052194.1,16600789791352.9,16946058883844.3,17244507452566.1,17162226695838.9,17194289053651.0,17427755815620.9,17767380879592.7
71,Fragile and conflict affected situations,520441603872.77203,546484290835.086,574420658022.674,598012593993.014,630598962658.835,587394689252.852,658187574915.969,678054655509.126,673773233682.935,687132107302.303
72,Finland,247590728476.821,260427814569.536,262304635761.589,240614569536.42398,247814569536.42398,254185430463.57602,250560264900.662,248660927152.318,246924503311.258,248272847682.119
73,Fiji,3087900695.98078,3061633357.19555,3093253731.5226603,3050380074.73233,3140508835.9485,3044714645.1164603,3094495436.84747,3260220628.45478,3486534533.8372602,3605758854.7063203
74,France,2607839735099.34,2669423841059.6,2674637086092.71,2595966887417.22,2646994701986.75,2702031788079.47,2706968211920.53,2722566887417.22,2729631788079.47,2761185430463.58
75,Faroe Islands,,,,,2301178416.00619,,,,,
76,"Micronesia, Fed. Sts.",297720587.14386296,291588505.129794,284124876.95172,286858031.417753,294117200.0,300148270.688121,301841613.331375,291091467.421,281185921.531364,
77,Gabon,13106978860.3736,13848696552.9606,13390522031.7449,13407974049.0581,14358584300.3006,15376859682.3653,16184310411.783,17096848843.9712,17834556863.8851,18522379317.4307
78,United Kingdom,2419630700401.73,2482203235475.9,2470614405284.3,2367047611711.99,2403504326328.8,2450911011124.85,2479808627472.19,2533370110012.36,2605643189894.93,2666333396477.13
79,Georgia,9903472455.26205,11125957083.2467,11383417007.1232,10953604844.0314,11638536890.5347,12479016519.7774,13271494210.7138,13721005522.6874,14355373148.9259,14753724431.5116
80,Ghana,24971353345.8208,26056812915.8501,28440958947.8913,29819138460.1109,32174772955.9748,36694042412.3186,40103840658.742004,43036444041.2994,44751818870.199005,46489399741.3134
81,Gibraltar,,,,,,,,,,
82,Guinea,4363170508.0501,4439861186.002,4659054145.11409,4645999834.78399,4735956493.06479,4921073734.73988,5115166393.893021,5232815181.98995,5253746369.5154295,5258999828.38809
83,"Gambia, The",766533358.521271,794366380.48455,839920448.1433719,894092762.494649,952429030.4155359,911201531.483016,964618263.859891,1010735774.3695401,1019604582.0613301,
84,Guinea-Bissau,737464300.630282,761097588.140336,785490084.5317731,811524428.350741,847491366.890874,926597014.655095,909936792.889118,917400753.4022712,940712595.528148,985836507.581695
85,Equatorial Guinea,11220063793.3147,12594765185.3024,13842701827.4488,13214974203.5352,12709498548.488998,12960593573.216002,13705469472.248999,12813586082.7027,12777156073.0929,11219128487.1481
86,Greece,321553555099.338,332080404503.31104,330967362119.205,316733337350.993,299379400264.901,272038594039.735,252178432980.132,244113162384.10602,245709620132.45,245140626622.517
87,Grenada,774430775.474869,822062784.995063,829864579.657853,774978091.9015031,771015888.888889,776912813.791643,767937177.52872,786001370.766791,830684137.656141,859018654.450385
88,Greenland,,,,,2287220565.1596,,,,,
89,Guatemala,36409421544.6181,38704692063.8681,39974623902.8469,40184907620.7582,41338008617.1119,43058516769.1373,44337293327.312004,45976702691.0182,47895848024.7646,49882943531.6821
90,Guam,,,,,,,,,,
91,Guyana,1919759428.27848,2054532557.6488302,2095143415.0007,2164673350.7761,2259288396.24467,2382128754.36652,2496863007.17268,2627239852.39885,2728149909.3828397,2810153023.4278
92,High income,43889285413778.0,45082253662378.8,45241965727914.0,43711677895782.8,45004571433225.8,45822328611954.5,46410990198104.8,46959687232818.8,47804691975246.6,48719375803820.3
93,Hong Kong,201916372094.71,214969758150.61102,219544022644.222,214145185396.96698,228637697575.04,239645861296.69,243720566257.35898,251208086226.16602,257775655510.28,263860579574.34802
94,Honduras,14139785190.6771,15014801358.9561,15650167709.792,15269613868.5127,15839344591.9842,16446892853.4328,17125933703.7093,17604014377.0727,18147136062.4235,18806832092.4349
95,Heavily indebted poor countries,370141265106.00397,394770598086.84796,418871026794.364,437668226204.349,463041658270.526,485563825521.791,513065937607.41296,542258371605.123,572510178724.16,600089614090.8579
96,Croatia,61088814230.6153,64234891205.4725,65553868300.4039,60713512917.076,59680624422.3702,59512765109.3403,58210965524.1422,57591646781.6468,57384066750.3548,58327812720.5909
97,Haiti,6523228358.6981,6741318083.4897,6798211055.17447,7007816740.328871,6622541528.56888,6988353355.27882,7189974061.95115,7495399488.89042,7705005174.044829,7832265768.6028595
98,Hungary,136467171196.018,137048275663.65302,138198584589.305,129134031548.04301,130093753005.675,132380152891.21901,130144390971.915,132603818055.20801,137473322008.75302,141513547177.07
99,IBRD only,15706015823818.6,17067381748765.6,18024258700934.3,18418926377680.2,19802516478849.9,21001833716042.0,22030423473152.9,23069445756926.3,24011569656503.6,24841406911974.4
100,IDA & IBRD total,16973935807565.4,18418433072266.8,19446379763241.7,19908832759428.4,21382172112681.3,22657525157176.7,23765101145191.9,24898848639487.2,25944966428493.2,26863824278136.7
101,IDA total,1270939314929.79,1353141364589.21,1424120218690.98,1493210734424.41,1582445092163.28,1657973990659.61,1736996692419.28,1832293691479.97,1937910302522.82,2027635208244.99
102,IDA blend,686229409346.005,728044694230.3041,763260853189.323,802728376068.952,851672684956.445,896205368021.057,940445925880.0,989736427045.418,1048143618028.7,1093273220752.24
103,Indonesia,602626661363.277,640863456970.63,679403085754.1421,710851779404.06,755094157594.527,801681837683.1329,850023658571.777,897261714696.7329,942339147749.082,987514144907.28
104,IDA only,580412514329.853,620804001159.9039,656668710237.39,685883500935.6011,725816940326.7991,756250338457.05,790635811693.6691,836519782382.788,883206506653.875,927949517271.335
105,Isle of Man,4109332802.38461,4415768422.34478,4850662591.66821,4953843516.88238,5420291954.71889,5681266119.97835,6036319157.98014,6307561781.47327,,
106,India,1265894322131.09,1374865195244.5,1428360609657.8,1549482541544.7,1708458876829.92,1821872415623.62,1924235460945.25,2051981849791.69,2200616575310.97,2367206118959.06
107,Not classified,,,,,,,,,,
108,Ireland,224965327549.66898,237434595099.338,232300285298.013,219202343576.159,220076114437.08603,225771869801.325,226113050728.477,229356195761.589,241281270463.57602,260128705960.265
109,Iran,389552313541.27,425064554419.08704,428990857822.095,438920754763.986,467790215915.476,485330901134.448,453256899727.83203,444592553889.771,463902735245.89,
110,Iraq,114771608149.415,116352699697.206,125926324446.49301,130181751588.159,138516722649.573,148969847232.097,169730925971.545,180885914501.784,177054265948.267,180772405533.18103
111,Iceland,12963368582.5961,14193969535.7889,14403867348.1575,13729597602.4568,13236887873.0516,13500053195.3882,13659749592.2017,14191929403.0356,14451167765.0362,15023018132.9136
112,Israel,200478776258.219,212778307552.702,219288062091.01,222070086195.673,234321743781.76,246108571729.90198,253141727649.947,261630083834.698,268431627288.425,275110410785.986
113,Italy,2202169663576.16,2234626814701.99,2211154176556.29,2089937511523.18,2125184794172.19,2137439133774.83,2077184315761.59,2040871178145.7,2033867707549.67,2049315603576.16
114,Jamaica,13912554966.1715,14111776358.6109,14009845722.2224,13389880550.9539,13190512703.1357,13417813082.7015,13336835828.6564,13409909753.6959,13502136504.2691,13623655732.8075
115,Jordan,21104612161.5294,22830065952.602997,24481229578.6302,25821963958.4769,26425379436.6197,27102082878.3823,27820614207.3543,28607718020.5301,29493507454.652,30196245313.054
116,Japan,5496541517363.31,5617035943770.73,5558526873313.82,5251308399909.32,5498717815809.77,5473738114222.05,5569101602926.18,5644658523313.42,5642884448582.19,5669563143140.97
117,Kazakhstan,121197091345.39099,131983632475.12401,136339092347.081,137975161454.46698,148047348240.643,158706757313.97,166007268150.412,175635689703.137,182836752980.965,185030794016.737
118,Kenya,33350571127.2017,35635328632.0885,35718103351.8622,36899279532.8919,39999659233.7555,42444283791.605,44377596638.6731,46904248572.9359,49405117161.2667,52196109596.1767
119,Kyrgyz Republic,3979134973.9144,4319067496.68377,4681938960.69465,4817073516.7967205,4794357795.07139,5079922899.938829,5075444938.11057,5629453576.20745,5855984970.11911,6059145532.21043
120,Cambodia,9014922853.47018,9935578323.299429,10600425244.3636,10609615490.7202,11242275198.9783,12037055707.6797,12911105171.3094,13876856309.7309,14858161721.6852,15903594933.674
121,Kiribati,137765076.83636102,148120111.468521,152199692.070366,151187531.661931,150431113.557145,154552937.75005502,158895896.234217,163619542.854754,169673465.94038,175009109.52341002
122,St. Kitts and Nevis,707878891.494331,727928704.859491,757982578.560369,715548226.860785,692457407.407407,704195363.3251519,695564060.1963919,736046665.849979,786856489.327785,823194292.5267769
123,South Korea,941019882149.125,992431619676.197,1020509638539.71,1027729932849.17,1094499338702.72,1134795571930.64,1160809426196.79,1194429021591.57,1234340240503.49,1266580410309.11
124,Kosovo,4958692405.24165,5319986848.90329,5460690853.41224,5643168877.5270605,5829933774.83444,6099252132.02091,6270547045.36458,6486283003.54946,6565320557.98225,6803277038.587729
125,Kuwait,117123372644.801,124141008374.04,127219511514.306,118217328332.17,115419050942.08,126532100488.486,134916608513.608,136466852756.455,134253314724.354,133716301465.45699
126,Latin America & Caribbean,3924920218223.52,4149096649579.0,4320544423477.85,4261618721841.62,4500356282030.4,4694262658368.9,4843758538097.18,4980644930768.55,5028926253697.47,4972082286731.36
127,Lao PDR,5305667183.68822,5708729636.36055,6155432179.38319,6617198846.38251,7181441139.89806,7758732250.6097,8381309299.80782,9091298196.8222,9774533813.97007,10458284497.762
128,Lebanon,26733728867.1572,29247791881.3601,31908778412.087997,35195673804.9209,38009950248.7562,38771892507.3694,39624874128.6105,39981498020.1,40705166186.7142,41319230908.0978
129,Liberia,985872107.763442,1079873956.95073,1157051893.00929,1218376789.68453,1292697100.0,1398698238.23309,1510516487.30938,1641989954.45724,1653502629.68398,1658424405.33853
130,Libya,65725799949.0192,69900911108.9382,71765417108.4958,71198368527.333,74773444900.5368,28357141373.22,57986607817.7471,50128037037.8092,38097308148.735,34211382717.564
131,St. Lucia,1234739279.96876,1242412120.8734698,1277116109.75525,1271322686.3220901,1249497000.0,1258266175.64234,1244975458.30242,1246700775.02543,1252386839.55531,1274434860.50665
132,Latin America & Caribbean,4686198072832.65,4951043779487.35,5143422555736.14,5079715995191.5,5371409239440.84,5617852993488.28,5783815964922.36,5947359876834.43,6005712877419.32,5949253110743.19
133,Least developed countries: UN classification,524673924193.40295,573881121152.146,616405655304.964,643868091980.847,678320686656.97,703712767747.74,733216921317.405,773931630291.011,816427072781.9641,852680108728.953
134,Low income,228873853670.316,243750946262.29898,256483839242.589,270963748763.51102,289211823374.79803,306224526424.11304,319094281579.072,337853612417.383,358219286655.459,375031695102.66705
135,Liechtenstein,,,,,5082338964.87305,,,,,
136,Sri Lanka,44825899741.2981,47872638202.9726,50721102373.424,52516077578.7272,56725745039.336,61493395362.8239,67116707719.9298,69395796204.8212,72781341623.5865,76264645401.5186
137,Lower middle income,3633146863611.6,3895562896471.63,4080416700807.0,4284426432092.9,4601540509108.32,4849873628068.1,5098203082659.83,5382492748134.27,5682391878693.79,5993615561341.78
138,Low & middle income,15959067366171.9,17333009519927.6,18322969434214.8,18782902860568.0,20188495930202.8,21389841895354.4,22476856222199.2,23580436917544.0,24604834350986.0,25483438593057.1
139,Lesotho,1771401813.40366,1855250499.9942,1961620803.1337101,2027490711.28353,2187482926.29624,2276044148.40001,2389701173.48869,2496306485.34194,2587149144.08071,
140,Late-demographic dividend,10433040517155.9,11433935872898.3,12180529524202.3,12490094899749.6,13440440525989.9,14329639738667.9,15091313294262.6,15859913824034.3,16567845863790.6,17123636815101.3
141,Lithuania,37617887784.8437,41788565845.257,42886801934.2872,36533481054.584,37132564255.4319,39377194356.1208,40887547827.239,42336907127.716,43620761128.7758,44315977742.4483
142,Luxembourg,48710198675.4967,52799735099.3377,52354569536.4238,49539470198.6755,52351655629.1391,53694834437.0861,53240000000.0,55554172185.4305,57814834437.0861,60618410596.0265
143,Latvia,27178155802.8617,29885235824.0594,28810072866.9846,24676136724.9603,23743309485.9565,25218125331.2136,26228170376.2586,27020688924.2183,27658162427.133,28180047694.7536
144,"Macao SAR, China",18725996392.0697,21431444070.7025,22158776481.721,22451519980.9567,28123640998.7253,34218765120.1229,37377058441.3317,41563521591.0347,41209357161.1151,32823775283.8127
145,St. Martin,,,,,,,,,,
146,Morocco,78544623310.6445,81318751799.0351,86135221236.4504,89790590993.4885,93216746661.5977,98106615021.8513,101059586129.684,105834986867.275,108393104418.44801,113162401012.86
147,Monaco,,,,,5350674803.33858,,,,,
148,Moldova,5197013778.53475,5356455226.33435,5772375747.40103,5426634692.6183605,5811604051.96737,6184380719.3893,6141090032.65411,6718156374.4536,7040627880.42737,7005424741.02524
149,Madagascar,7970138367.75655,8467521105.2625,9071129493.65326,8707027002.4923,8729936135.744879,8856903643.149158,9125049593.31503,9331595052.89601,9623316194.85465,9913610157.011759
150,Maldives,1862195903.6426,2063143271.34413,2320556626.80372,2192660574.26177,2323401757.8125,2525754691.5989,2588809904.8105397,2710478628.92842,2886133520.0070896,2929826239.24125
151,Middle East & North Africa,2304969103524.04,2446962501315.96,2570011626182.23,2610574689390.2,2742639888023.15,2843395801049.45,2962418185030.46,3026881130574.21,3102309678351.24,3192525736847.37
152,Mexico,1002728584323.31,1034857241688.87,1049348247989.9,1000025324482.99,1051128603513.77,1093642696896.43,1137587161961.8,1152891832129.47,1178835546873.81,1208858955424.02
153,Marshall Islands,158331648.42020902,164247808.222778,161144011.19603702,157337759.72746,163803078.278876,164053269.65571,168670109.611944,172620418.192728,170943750.207874,
154,Middle income,15730184320436.9,17088745124680.2,18065818834463.3,18511646708082.2,19898871139503.5,21083170233652.8,22157140797254.8,23242105422890.6,24246413198225.7,25108346925898.1
155,"Macedonia, FYR",8133817396.81345,8660358997.01112,9134228879.94995,9101472088.168959,9407168702.4313,9627286317.03306,9583368137.54723,9863707082.21495,10212964610.2751,10587298397.7196
156,Mali,7265077708.961121,7868285059.88562,8619380424.78345,9631854894.68572,10678749467.4697,11506340739.9658,12796848047.7655,13694480668.3443,14761106186.0189,15884582490.5535
157,Malta,7431983892.237221,7750015360.866091,8052265959.93993,7826802513.061629,8163355021.12327,8277641991.4189,8368696053.324559,8611388238.87086,,
158,Myanmar,,,,,,,,,,
159,Middle East & North Africa,1136486021227.2,1208381175444.72,1253878863004.74,1293261620428.19,1362935527742.17,1354147208045.01,1392891312484.94,1405315902077.37,1427212863491.65,
160,Montenegro,3618956913.23019,4004661770.24471,4281888387.15438,4039665494.0474896,4139192052.9801297,4272823841.0596104,4156440802.53725,4303952078.27945,4380722217.29257,4528558178.93351
161,Mongolia,5702204213.4547,6286567034.13562,6846094631.35334,6759245147.363811,7189482029.68248,8432599360.235471,9471480399.77148,10574805179.3285,11408652448.6758,11670531632.3175
162,Northern Mariana Islands,,,,,,,,,,
163,Mozambique,7794687813.46585,8373526084.517329,8949306941.23667,9517718742.50536,10154238250.1818,10876976985.2962,11659922000.9265,12492636703.2019,13421356920.5464,14262411896.5455
164,Mauritania,4025615596.03959,4139050872.61895,4183751263.06351,4140153156.6056,4337791530.8788395,4541844130.4873705,4805047548.2939205,5097687376.0487,5312107018.9680395,
165,Mauritius,8108433628.15455,8586060800.09435,9059246328.72715,9335461162.67676,9718233910.68203,10096261847.5491,10421558024.335,10753920076.2677,11143644878.0482,11533673588.4371
166,Malawi,5095550005.69307,5584722806.06858,6011380928.01556,6512015360.825911,6959655570.89098,7297481087.69745,7435096950.095921,7821721991.37864,8267560145.18226,8511453169.61565
167,Malaysia,216303028285.742,229927492999.286,241037060383.099,237388518363.292,255016919685.822,268516966253.76398,283214119400.205,296563285834.032,314335165005.743,329902207320.481
168,North America,16362705204222.5,16658236596472.2,16630398218671.3,16165854139519.1,16583522548731.1,16873658969020.5,17240578788101.6,17509505314584.1,17935381038511.9,18346579762375.2
169,Namibia,9693003646.96915,10334398853.639,10608240991.1714,10639638311.1204,11282192605.0374,11856607186.6558,12456727257.6528,13161100586.4209,13994228805.5322,14786830323.4907
170,New Caledonia,,,,,,,,,,
171,Niger,4701891392.26459,4849839714.846729,5314826497.8901205,5276949261.50372,5718589799.24366,5850769296.443911,6541959480.1299,6886614682.17048,7372107102.72376,7637893798.437191
172,Nigeria,281906487385.062,301156185312.51196,320039472272.419,342232340656.562,369062464570.387,387099974051.551,403665055423.226,425440429014.358,452284521417.451,464282244075.104
173,Nicaragua,8044437471.21697,8469808698.927859,8711343159.74096,8470978895.303309,8741313140.248829,9286036334.95014,9805177971.509241,10249669824.1836,10717588995.9234,11245854069.4099
174,Netherlands,812782985562.9141,842843545695.364,857163969801.3241,824869601192.053,836439735099.338,850354966887.417,841366396821.192,837198453509.9341,845663604900.662,862497257483.4441
